"FORMULARIO","Depto","Mun","Fraccion","Radio","Viv","NroHogar","PM","Zon","Tipo_viv","CantidadPersonas","PersonaMayorCuatro","Personas_temporales","CantidadCochera","Hogar_Vehículo","CantidadVehículos","Tipo_vehículo_1","Propiedad_vehículo_1","MarcaVehículo_1","Combustible_1","Gasto_combustible_1","GastoCochera_1","GastoPatente_1","GastoSeguro_1","GastosTotal_1","MarcaVehículo_2","MarcaVehículo_3","HogarMoto","CantidadMotos","HogarCiclomotor","CantidadCiclomotores","HogarBicicleta","CantidadBicicletas","Plan_social","HogarIngresos","RangoIngresos","promedio_ingreso","IngresoT1","IngresoT2","HogarGastoTotal","RangoGastoTotal","promedio_gastototal","GastoT1","GastoT2","HogarGastosAlimentos","RangoGastosAlimentos","promedio_gasto_alimentos","GastoA1","HogarGastosTransporte","RangoGastosTransporte","Ingresoagregado_pers","IngresoTotalFinal","bienestar","FEX"
120,28,10,13,8,240,1,136,25,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1000","97","97","1000","1000","1000","97","97","1000","1000","800","97","97","800","130","97","1000","1000","Pobre",44.5752501398702
122,28,10,13,8,150,1,136,25,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","1200","97","97","1200","1200","1200","97","97","1200","1200","1000","97","97","1000","30","97","800","1200","Pobre",44.5752501398702
127,28,30,19,4,99,1,126,7,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"Sí","2","No","1500","97","97","1500","1500","1500","97","97","1500","1500","200","97","97","200","142","97","1560","1560","No Pobre",56.8003878730522
129,28,30,19,21,384,1,113,6,"Departamento",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","2400","97","97","2400","2400","2400","97","97","2400","2400","1000","97","97","1000","70","97","2400","2400","No Pobre",53.2079600765414
130,28,30,19,21,146,1,113,6,"Casa",5,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","3","No","1800","97","97","1800","1800","1800","97","97","1800","1800","1200","97","97","1200","300","97","2500","2500","No Pobre",53.2079600765414
131,28,30,19,21,199,1,113,6,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","4","No","800","97","97","800","800","1500","97","97","1500","1500","1000","97","97","1000","62","97","600","800","Pobre",53.2079600765414
132,28,30,19,21,93,1,113,6,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1200","97","97","1200","1200","1500","97","97","1500","1500","900","97","97","900","200","97","700","1200","Pobre",53.2079600765414
133,28,30,19,4,24,1,126,7,"Casa",6,6,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","Sí","3000","97","97","3000","3000","600","97","97","600","600","900","97","97","900","200","97","3180","3180","No Pobre",56.8003878730522
134,28,30,19,4,62,1,126,7,"Casa",3,3,0,1,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","2000","97","97","2000","2000","800","97","97","800","800","300","97","97","300","20","97","2000","2000","No Pobre",56.8003878730522
135,28,30,5,5,249,1,132,3,"Casa",4,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2400","97","97","2400","2400","2000","97","97","2000","2000","500","97","97","500","150","97","2400","2400","No Pobre",45.2960443436634
136,28,30,2,12,122,1,127,1,"Casa",1,1,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","fiat        ","Nafta / Alconafta","300","98","120","180","300","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","6500","97","97","6500","6500","4000","97","97","4000","4000","800","97","97","800","100","97","6500","6500","No Pobre",49.5541350443311
137,28,30,2,12,77,1,127,1,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1500","97","97","1500","1500","1000","97","97","1000","1000","500","97","97","500","30","97","1500","1500","No Pobre",49.5541350443311
138,28,30,2,12,104,1,127,1,"Casa",5,5,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","ford        ","Nafta / Alconafta","500","98","50","100","150","NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","No","8000","97","97","8000","8000","6000","97","97","6000","6000","4000","97","97","4000",NA,NA,"8000","8000","No Pobre",49.5541350443311
139,28,30,20,6,250,1,116,19,"Casa",6,5,1,1,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","6500","97","97","6500","6500","6500","97","97","6500","6500","1600","97","97","1600","500","97","6900","6900","No Pobre",68.3252474959917
143,28,30,20,6,319,1,116,19,"Casa",2,2,1,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","2400","97","97","2400","2400","2400","97","97","2400","2400","1000","97","97","1000","10","97","2400","2400","No Pobre",68.3252474959917
144,28,30,20,6,342,1,116,19,"Casa",3,3,1,1,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","700","97","97","700","700","700","97","97","700","700","700","97","97","700","500","97","1800","1800","No Pobre",68.3252474959917
145,28,30,20,6,66,1,116,19,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"Sí","1","No","1600","97","97","1600","1600","1600","97","97","1600","1600","1600","97","97","1600",NA,NA,"4000","4000","No Pobre",68.3252474959917
146,28,30,9,11,109,1,111,2,"Departamento",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","2000","97","97","2000","2000","1700","97","97","1700","1700","200","97","97","200",NA,NA,"1000","2000","No Pobre",53.9107116884895
147,28,30,9,11,135,1,111,2,"Departamento",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","4000","97","97","4000","4000","4000","97","97","4000","4000","1500","97","97","1500","500","97","4000","4000","No Pobre",53.9107116884895
148,28,30,19,21,172,1,113,6,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","570","97","97","570","570","570","97","97","570","570","300","97","97","300","100","97","570","570","Indigente",53.2079600765414
149,28,30,19,21,40,1,113,6,"Casa",4,4,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","chevrolet   ","Nafta / Alconafta","600","98","19","120","139","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","5000","97","97","5000","5000","5000","97","97","5000","5000","1500","97","97","1500",NA,NA,"5100","5100","No Pobre",53.2079600765414
150,28,30,20,6,273,1,116,19,"Casa",2,2,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso laboral","citroen     ","Nafta / Alconafta","100","98","5","65","70","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2500","97","97","2500","2500","500","97","97","500","500","1500","97","97","1500","300","97","2600","2600","No Pobre",68.3252474959917
152,28,30,5,11,253,1,107,4,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","300","97","97","300","300","100","97","97","100","100","90","97","97","90",NA,NA,"100","300","Indigente",98.0987248879969
153,28,30,5,11,54,1,107,4,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","500","97","97","500","500","150","97","97","150","150","80","97","97","80","30","97","500","500","Indigente",98.0987248879969
154,28,30,5,11,41,1,107,4,"Casa",4,4,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso laboral","VW Pasat    ","Nafta / Alconafta","600","98","40","150","190","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","4000","97","97","4000","4000","3000","97","97","3000","3000","100","97","97","100","100","97","4600","4600","No Pobre",98.0987248879969
155,28,30,4,5,27,1,309,5,"Casa",2,2,0,1,"Si","1","Camioneta","Propio de algún miembro del hogar para uso particular","chevrolet   ","Nafta / Alconafta","2500","98","20","100","120","NULL        ","NULL        ","Sí","1","No",NA,"Sí","1","No","2000","97","97","2000","2000","1800","97","97","1800","1800","900","97","97","900",NA,NA,"3300","3300","No Pobre",48.9145091693635
156,28,30,9,11,199,1,111,2,"Casa",2,2,0,1,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1200","97","97","1200","1200","800","97","97","800","800","800","97","97","800","100","97","1200","1200","Pobre",53.9107116884895
157,28,30,9,11,173,1,111,2,"Casa",4,2,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","renault     ","Nafta / Alconafta","200","98","80","150","230","NULL        ","NULL        ","No",NA,"No",NA,"Sí","3","No","1200","97","97","1200","1200","8000","97","97","8000","8000","800","97","97","800",NA,NA,"12220","12220","No Pobre",53.9107116884895
159,28,30,6,15,31,1,151,22,"Casa",5,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3000","97","97","3000","3000","2000","97","97","2000","2000","800","97","97","800","120","97","3000","3000","No Pobre",20.8779804073922
160,28,30,6,15,15,1,151,22,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","800","97","97","800","800","700","97","97","700","700","600","97","97","600","30","97","800","800","Pobre",20.8779804073922
161,28,30,20,15,132,1,145,20,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"Sí","1","No","1800","97","97","1800","1800","1500","97","97","1500","1500","1000","97","97","1000","30","97","1800","1800","No Pobre",73.5383009121882
162,28,30,20,15,98,1,145,20,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","2400","97","97","2400","2400","1000","97","97","1000","1000","500","97","97","500","200","97","2400","2400","No Pobre",73.5383009121882
163,28,30,2,12,67,1,127,1,"Casa",4,4,0,1,"Si","2","Auto","Propio de algún miembro del hogar para uso particular","wolsvagen   ","Nafta / Alconafta","100","98","12","150","162","ford        ","NULL        ","No",NA,"No",NA,"Sí","3","No","5000","97","97","5000","5000","2000","97","97","2000","2000","900","97","97","900","50","97","4000","5000","No Pobre",49.5541350443311
164,28,30,8,4,188,1,142,23,"Casa",1,1,0,1,"Si","1","Camioneta","Propio de algún miembro del hogar para uso particular","ford        ","Nafta + GNC","250","98","66","152","218","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,"$871 a $1740","1305","1305","1305","2200","97","97","2200","2200","500","97","97","500",NA,NA,NA,"1305","Pobre",79.1511232251973
165,28,30,8,4,292,1,142,23,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","500","97","97","500","500","500","97","97","500","500","250","97","97","250",NA,NA,NA,"500","Indigente",79.1511232251973
166,28,30,8,4,209,1,142,23,"Departamento",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1000","97","97","1000","1000","800","97","97","800","800","250","97","97","250","100","97","250","1000","Pobre",79.1511232251973
167,28,30,8,4,85,1,142,23,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","2000","97","97","2000","2000","1800","97","97","1800","1800","600","97","97","600","320","97","2000","2000","No Pobre",79.1511232251973
169,28,30,8,4,271,1,142,23,"Casa",4,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1500","97","97","1500","1500","1000","97","97","1000","1000","400","97","97","400","10","97","1000","1500","No Pobre",79.1511232251973
170,28,30,8,4,1,1,142,23,"Casa",1,1,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","gol         ","Nafta / Alconafta","200","98","75","93","100","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","700","97","97","700","700","1500","97","97","1500","1500","300","97","97","300",NA,NA,NA,"700","Pobre",79.1511232251973
172,28,10,13,8,276,1,136,25,"Casa",4,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","3","No","2000","97","97","2000","2000","1500","97","97","1500","1500","1000","97","97","1000","120","97","1860","2000","No Pobre",44.5752501398702
173,28,10,13,8,60,1,136,25,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1100","97","97","1100","1100","600","97","97","600","600","600","97","97","600",NA,NA,NA,"1100","Pobre",44.5752501398702
174,28,30,13,8,78,1,136,25,"Casa",5,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","1500","97","97","1500","1500","1500","97","97","1500","1500","600","97","97","600","150","97","1500","1500","No Pobre",44.5752501398702
175,28,30,19,2,126,1,152,7,"Casa",2,2,0,1,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","1500","97","97","1500","1500","1000","97","97","1000","1000","400","97","97","400",NA,NA,"600","1500","No Pobre",52.4990786029747
176,28,30,19,2,87,1,152,7,"Casa",5,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No",NA,NA,NA,NA,"800",NA,NA,NA,NA,"800","400","97","97","400",NA,NA,"1250","1250","Pobre",52.4990786029747
177,28,30,19,2,1,1,152,7,"Casa",5,5,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","chevrolet   ","Nafta / Alconafta","345","98","98","98","98","NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","7000","97","97","7000","7000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8400","8400","No Pobre",52.4990786029747
181,28,30,20,5,67,1,112,19,"Casa",4,4,0,1,"Si","2","Camioneta","Propio de algún miembro del hogar para uso laboral","ford        ","Gasoil / Diesel","500","98","98","98","98","rastrogero  ","NULL        ","No",NA,"Sí",NA,"Sí","4","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000","2000","No Pobre",58.953000729505
183,28,30,19,4,228,1,126,7,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"Sí","4","No","1600","97","97","1600","1600","1800","97","97","1800","1800","350","97","97","350","400","97","800","1600","No Pobre",56.8003878730522
184,28,30,20,5,67,2,112,19,"Casa",4,4,0,1,"Si","2","Camioneta","Propio de algún miembro del hogar para uso laboral","ford        ","Gasoil / Diesel","500","98","98","98","98","rastrogero  ","NULL        ","No",NA,"Sí",NA,"Sí","4","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000","2000","No Pobre",58.953000729505
185,28,30,20,5,276,1,112,19,"Casa",1,1,0,1,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","1300","97","97","1300","1300","1200","97","97","1200","1200","700","97","97","700","30","97","1300","1300","Pobre",58.953000729505
186,28,30,20,5,346,1,112,19,"Casa",4,4,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","renault     ","Nafta / Alconafta","240","98","37","65","102","NULL        ","NULL        ","Sí","1","No",NA,"Sí","1","No","5000","97","97","5000","5000","5000","97","97","5000","5000","4000","97","97","4000","500","97","4240","5000","No Pobre",58.953000729505
188,28,30,12,8,87,1,146,16,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","6000","97","97","6000","6000","2500","97","97","2500","2500","1000","97","97","1000",NA,NA,"6000","6000","No Pobre",52.4860261227411
189,28,30,12,8,104,1,146,16,"Casa",4,4,1,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1200","97","97","1200","1200","1200","97","97","1200","1200","1000","97","97","1000","80","97","1500","1500","No Pobre",52.4860261227411
190,28,30,12,8,1,1,146,16,"Casa",4,4,0,1,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","Sí","1500","97","97","1500","1500","1500","97","97","1500","1500","800","97","97","800","25","97","1020","1500","No Pobre",52.4860261227411
191,28,30,5,5,98,1,132,3,"Casa",3,3,1,1,"Si","2","Auto","Propio de algún miembro del hogar para uso laboral","fiat        ","Nafta / Alconafta","500","98","55","12","175","peugeot     ","NULL        ","No",NA,"No",NA,"No",NA,"No","7000","97","97","7000","7000","3000","97","97","3000","3000","2000","97","97","2000",NA,NA,"2350","7000","No Pobre",45.2960443436634
192,28,30,5,5,165,2,132,3,"Departamento",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","1600","97","97","1600","1600","1300","97","97","1300","1300","400","97","97","400","80","97","1600","1600","No Pobre",45.2960443436634
193,28,30,12,8,207,1,146,16,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2100","97","97","2100","2100","140","97","97","140","140","100","97","97","100","56","97","2100","2100","No Pobre",52.4860261227411
194,28,30,19,3,235,1,106,7,"Dpto. tipo casa (PH) o de pasillo",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","1200","97","97","1200","1200","500","97","97","500","500","400","97","97","400","50","97","2350","2350","No Pobre",41.8207524687622
195,28,30,19,3,149,1,106,7,"Dpto. tipo casa (PH) o de pasillo",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2000","97","97","2000","2000","2000","97","97","2000","2000","1300","97","97","1300","100","97","1000","2000","No Pobre",41.8207524687622
197,28,10,18,9,174,1,138,25,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","No",NA,"Menor o igual a $870","435","435","435",NA,"Menor o igual a $870","435","435","435",NA,"Menor o igual a $350","175","175","72","97","800","800","Pobre",52.5230442809888
198,28,10,18,9,228,1,138,25,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"Sí","1740","97","97","1740","1740","1600","97","97","1600","1600","1200","97","97","1200",NA,NA,"1740","1740","No Pobre",52.5230442809888
199,28,10,18,9,120,1,138,25,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","1300","97","97","1300","1300",NA,"$2611 a $3480","3045","3045","3045","1120","97","97","1120","112","97","850","1300","Pobre",52.5230442809888
200,28,10,18,9,93,1,138,25,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"Sí","3","No",NA,NA,NA,NA,"1200",NA,NA,NA,NA,"1200","600","97","97","600","50","97","2400","2400","No Pobre",52.5230442809888
202,28,30,10,2,105,1,239,4,"Pieza de inquilinato",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","700","97","97","700","700","700","97","97","700","700","150","97","97","150","100","97","1200","1200","Pobre",109.120172684458
203,28,30,10,2,68,1,239,4,"Casa",1,1,0,1,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1500","97","97","1500","1500","500","97","97","500","500","600","97","97","600","30","97","1500","1500","No Pobre",109.120172684458
204,28,30,10,2,123,1,239,4,"Departamento",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","5000","97","97","5000","5000","6000","97","97","6000","6000","600","97","97","600","50","97","6000","6000","No Pobre",109.120172684458
